PLAYER,TEAM,Overs,Runs Conceded,Wickets,Average,3 Wickets in Innings,Economy Rate,Strike Rate
Rohit Sharma,MI,60.3,488,15,32.53,2,8.07,24.2
Suryakumar Yadav,MI,4,29,0,N/A,0,7.25,N/A
Bevon Jacobs,MI,0,0,0,N/A,0,0,N/A
Tilak Varma,MI,3.4,28,0,N/A,0,7.64,N/A
Ryan Rickelton,MI,0,0,0,N/A,0,N/A,N/A
Robin Minz,MI,0,0,0,N/A,0,0,N/A
Mitchell Santner,MI,77.3,574,16,35.88,0,7.41,29.06
Hardik Pandya,MI,250.2,2270,74,30.68,6,9.07,20.3
Corbin Bosch,MI,0,0,0,N/A,0,0,N/A
Will Jacks,MI,14,142,3,47.33,0,10.14,28
Satyanarayana Raju,MI,4,53,1,53,0,13.25,24
Naman Dhir,MI,7.4,67,0,N/A,0,8.74,N/A
Vignesh Puthur,MI,11,94,6,15.67,1,8.55,11
Raj Angad Bawa,MI,0,0,0,N/A,0,0,N/A
Trent Boult,MI,407.3,3399,126,26.98,9,8.34,19.4
Deepak Chahar,MI,290.1,2349,81,29,7,8.1,21.49
Jasprit Bumrah,MI,512.5,3745,165,22.7,23,7.3,18.65
Reece Topley,MI,17,182,5,36.4,0,10.71,20.4
Arjun Tendulkar,MI,12.1,114,3,38,0,9.37,24.33
Ashwani Kumar,MI,6,63,5,12.6,1,10.5,7.2
Karn Sharma,MI,249.1,2087,76,27.46,4,8.38,19.67
Virat Kohli,RCB,41.5,368,4,92,0,8.8,62.75
Rajat Patidar,RCB,0,0,0,N/A,0,0,N/A
Devdutt Padikkal,RCB,0,0,0,N/A,0,0,N/A
Swastik Chikara,RCB,0,0,0,N/A,0,0,N/A
Tim David,RCB,0,0,0,N/A,0,0,N/A
Phil Salt,RCB,0,0,0,N/A,0,0,N/A
Jitesh Sharma,RCB,0,0,0,N/A,0,0,N/A
Jacob Bethell,RCB,0,0,0,N/A,0,0,N/A
Manoj Bhandage,RCB,0,0,0,N/A,0,0,N/A
Mohit Rathee,RCB,0,0,0,N/A,0,0,N/A
Romario Shepherd,RCB,21,257,4,64.25,0,12.24,31.5
Josh Hazlewood,RCB,116.2,933,43,21.7,5,8.02,16.23
Bhuvneshwar Kumar,RCB,662.4,5020,184,27.28,15,7.58,21.61
Yash Dayal,RCB,109.1,1029,33,31.18,2,9.43,19.85
Abhinandan Singh,RCB,0,0,0,N/A,0,0,N/A
Rasikh Dar,RCB,38.3,409,10,40.9,2,10.62,23.1
Suyash Sharma,RCB,55,483,11,43.91,1,8.78,30
Swapnil Singh,RCB,27,241,7,34.43,0,8.93,23.14
Nuwan Thushara,RCB,26,257,8,32.13,2,9.88,19.5
Lungi Ngidi,RCB,54,448,25,17.92,4,8.3,12.96
Rishabh Pant,LSG,0,0,0,N/A,0,0,N/A
Nicholas Pooran,LSG,0,0,0,N/A,0,0,N/A
David Miller,LSG,0,0,0,N/A,0,0,N/A
Aiden Markram,LSG,20.1,172,2,86,0,8.53,60.5
Himmat Singh,LSG,0,0,0,N/A,0,0,N/A
Matthew Breetzke,LSG,0,0,0,N/A,0,0,N/A
Aryan Juyal,LSG,0,0,0,N/A,0,0,N/A
Mitchell Marsh,LSG,93.2,795,37,21.49,3,8.52,15.14
Shahbaz Ahmed,LSG,91,859,21,40.9,2,9.44,26
Yuvraj Chaudhary,LSG,0,0,0,N/A,0,0,N/A
Abdul Samad,LSG,9.2,119,2,59.5,0,12.75,28
